Disease	Acc_Id	Annotations	Annotated Genes	Strains	Matched By
Farber lipogranulomatosis	DOID:0050464	2	Asah1(621568 - Rat);Sod2(3732 - Rat)		term
Fatal familial insomnia	DOID:0050433	3	Mir146a(2325382 - Rat);Nefl(621458 - Rat);Prnp(3410 - Rat)		term
Fatal infantile cardioencephalomyopathy due to cytochrome C oxidase deficiency	DOID:0050713	5	Coa5(1565095 - Rat);Coa6(7559315 - Rat);Cox15(1312043 - Rat);Ncaph2(1565937 - Rat);Tymp(1305756 - Rat)		term
Fatal infantile hypertonic myofibrillar myopathy	DOID:0080309	1	Cryab(2414 - Rat)		term
Feingold syndrome	DOID:0060464	1	Mycn(1584995 - Rat)		term
Fetal alcohol syndrome	DOID:0050665	1	Rhoa(619921 - Rat)		term
Fetal encasement syndrome	DOID:0060647	1	Chuk(1306661 - Rat)		term
Fetal hydantoin syndrome	DOID:9008714	0			term
Fetal lower urinary tract obstruction	HP:0034247	0			term
Fetal trimethadione syndrome	DOID:9002355	0			term
Fetal valproate syndrome	DOID:0060471	0			term
Fibrillary astrocytoma	DOID:6726	1	Kras(2981 - Rat)		term
Fibrochondrogenesis	DOID:0060465	2	Col11a1(2372 - Rat);Col11a2(2373 - Rat)		term
Fibrodysplasia ossificans progressiva	DOID:13374	5	Acvr1(620200 - Rat);Bmp4(2213 - Rat);Bmpr2(71082 - Rat);Maf(3034 - Rat);Wwox(1309927 - Rat)		term
Fibrosarcoma	DOID:3355	14	Cdc42(71043 - Rat);Col1a1(61817 - Rat);Ddr2(619855 - Rat);Egr1(2544 - Rat);Ercc6(1311509 - Rat);Kdr(2965 - Rat);Mxi1(3128 - Rat);Nf1(3168 - Rat);Nras(3205 - Rat);Pdgfb(3283 - Rat);Serpine1(3249 - Rat);Tert(70494 - Rat);Tnfrsf1a(621237 - Rat);Vegfa(619991 - Rat)		term
Fibrosarcoma	HP:0100244	0			term
Fibrous dysplasia of bone	DOID:9008267	50	Add1(2041 - Rat);Atp5me(621377 - Rat);Cplx1(70944 - Rat);Ctbp1(2441 - Rat);Dgkq(2320722 - Rat);Dok7(1566416 - Rat);Fam193a(1309634 - Rat);Fam53a(1563315 - Rat);Fgfr3(620714 - Rat);Fgfrl1(735156 - Rat);Fos(2626 - Rat);Gak(621589 - Rat);Gnas(2716 - Rat);Grk4(61858 - Rat);Haus3(1591723 - Rat);Hgfac(70909 - Rat);Htt(68337 - Rat);Idua(1310943 - Rat);Igfbp3(2874 - Rat);Letm1(1359678 - Rat);Maea(1309877 - Rat);Mfsd10(1311900 - Rat);Msantd1(1565796 - Rat);Mxd4(1305093 - Rat);Nat8l(1305719 - Rat);Nelfa(1305556 - Rat);Nkx1-1(1564874 - Rat);Nop14(1305605 - Rat);Nsd2(1307955 - Rat);Pcgf3(1311479 - Rat);Pde6b(1311039 - Rat);Pigg(1560335 - Rat);Poln(7675413 - Rat);RGD1560394(1560394 - Rat);Rgs12(3564 - Rat);Rit1(1559874 - Rat);Rnf212(1588767 - Rat);Rnf4(3583 - Rat);Sh3bp2(1310588 - Rat);Slbp(1584682 - Rat);Slc26a1(620136 - Rat);Slc49a3(1304688 - Rat);Spon2(708584 - Rat);Tacc3(1302948 - Rat);Tmem129(1310828 - Rat);Tmem175(1309712 - Rat);Tnip2(1307717 - Rat);Trim37(1308349 - Rat);Uvssa(1306371 - Rat);Zfyve28(1310151 - Rat)		term
Filariasis	DOID:1080	7	Il13(68949 - Rat);Il1r1(2892 - Rat);Il1rl1(2894 - Rat);Prg2(69336 - Rat);RT1-Ba(1595867 - Rat);RT1-Ha(1595921 - Rat);Tlr4(3870 - Rat)		term
Filippi syndrome	DOID:0112194	1	Ckap2l(1590645 - Rat)		term
Fine-Lubinsky syndrome	DOID:9000793	0			term
Fingerprint body myopathy	DOID:9007762	0			term
Fitzsimmons-McLachlan-Gilbert syndrome	DOID:9006987	0			term
Fleck corneal dystrophy	DOID:0060448	1	Pikfyve(1592067 - Rat)		term
Floating-Harbor syndrome	DOID:0111358	1	Srcap(1565642 - Rat)		term
Florid cemento-osseous dysplasia	DOID:9007044	0			term
FLOTCH syndrome	DOID:9000563	0			term
Focal dermal hypoplasia	DOID:2120	4	Porcn(1564947 - Rat);Ptch1(621425 - Rat);Ptch2(1309039 - Rat);Sufu(1559462 - Rat)		term
Focal facial dermal dysplasia	DOID:9000745	2	Cyp26c1(1308843 - Rat);Twist2(621286 - Rat)		term
Focal facial dermal dysplasia 4	DOID:9000763	1	Cyp26c1(1308843 - Rat)		term
Follicular dendritic cell sarcoma	DOID:6262	0			term
Follicular lymphoma	DOID:0050873	20	Atp6ap1(620423 - Rat);Atp6v1b2(620284 - Rat);Bcl10(620544 - Rat);Bcl2(2199 - Rat);Cd40(619830 - Rat);Cd40lg(708418 - Rat);Cd79b(620012 - Rat);Crebbp(2401 - Rat);Ebf1(620953 - Rat);Ezh2(1595860 - Rat);Irf4(1308050 - Rat);Kdsr(1307775 - Rat);Kmt2d(2324324 - Rat);Mthfr(1309952 - Rat);Mtr(621283 - Rat);Myd88(735043 - Rat);Rarres1(1309509 - Rat);Rragc(1311760 - Rat);Tnfaip3(1589275 - Rat);Tyms(3921 - Rat)		term
Follicular lymphoma	HP:0033125	0			term
Foodborne botulism	DOID:0050352	0			term
Fountain syndrome	DOID:9005918	0			term
Fragile X-associated tremor/ataxia syndrome	DOID:0050879	2	Fmr1(2623 - Rat);Sod1(3731 - Rat)		term
Fragile X syndrome	DOID:14261	15	Adgb(1564259 - Rat);Aff2(1565592 - Rat);App(2139 - Rat);Cyfip1(1310332 - Rat);Ercc6(1311509 - Rat);Fmr1(2623 - Rat);Fmr1<sup>em1Mzhe</sup>(124715480 - Rat);Fmr1<sup>em1Sage</sup>(11568041 - Rat);Grm1(2742 - Rat);Mcm9(1560557 - Rat);Mmp9(621320 - Rat);Nrxn3(620212 - Rat);Rab32(1559997 - Rat);Serpina1(3326 - Rat);Sod1(3731 - Rat)	SD-<i>Fmr1<sup>em1</sup></i>(45073130)|SD-<i>Fmr1<sup>em1</sup></i>(11568040)	term
Frank-Ter Haar syndrome	DOID:0111789	1	Sh3pxd2b(1309926 - Rat)		term
Fraser syndrome	DOID:0090001	19	Adamts14(1308899 - Rat);Aipl1(70906 - Rat);Aspa(621693 - Rat);Borcs6(1563885 - Rat);Fras1(1306516 - Rat);Frem1(1306981 - Rat);Frem2(1566012 - Rat);Frem2<sup>fpl</sup>(13464330 - Rat);Gnb5(620759 - Rat);Grip1(621667 - Rat);Lsm10(1584914 - Rat);Med23(1307671 - Rat);Mpc1(620902 - Rat);Myo18b(1594542 - Rat);Odad1(1308141 - Rat);Ptch1(621425 - Rat);Spata22(1565378 - Rat);Tlcd3a(1307493 - Rat);Wdr81(1311334 - Rat)	FPL(13464329)	term
Frasier syndrome	DOID:0050438	1	Wt1(3974 - Rat)		term
Freeman-Sheldon syndrome	DOID:0111604	1	Myh3(3138 - Rat)		term
Free sialic acid storage disease	DOID:9000742	1	Slc17a5(1311388 - Rat)		term
Friedreich ataxia	DOID:12705	2	Fxn(1565754 - Rat);Mt-nd1(620555 - Rat)		term
Frontal encephalocele	HP:0007330	0			term
Frontal fibrosing alopecia	DOID:9000209	0			term
Frontometaphyseal dysplasia	DOID:0111785	2	Flna(1560614 - Rat);Map3k7(1309438 - Rat)		term
Frontonasal dysplasia	DOID:0081044	6	Alx1(2273 - Rat);Alx3(1359270 - Rat);Alx4(1310201 - Rat);Efnb1(2540 - Rat);Irx5(1565518 - Rat);Six2(1310792 - Rat)		term
Frontotemporal dementia	DOID:9255	95	Abca7(1303134 - Rat);Adam10(2032 - Rat);Adamts2(1565950 - Rat);Ang(1594539 - Rat);Anxa11(1309911 - Rat);Arid3c(1560943 - Rat);Arsa(1310381 - Rat);Asb16(1563878 - Rat);Atf2(621862 - Rat);Atxn7l3(1311493 - Rat);Bace2(1303241 - Rat);Canx(2266 - Rat);Cby3(1594715 - Rat);Ccl19(1310336 - Rat);Ccl21(1311996 - Rat);Ccl27(1304660 - Rat);Ccnf(67401 - Rat);Chchd10(1359417 - Rat);Chmp2b(1306781 - Rat);Chrna4(2346 - Rat);Chrnb4(2351 - Rat);Cntfr(1303100 - Rat);Creb1(620218 - Rat);Crhr1(61276 - Rat);Csf1r(2425 - Rat);Cyld(1308346 - Rat);Dctn1(62038 - Rat);Dctn3(1309547 - Rat);Dnai1(1565671 - Rat);Dnajb5(1307453 - Rat);Egf(2542 - Rat);Enho(6487582 - Rat);Erbb4(620486 - Rat);Fam205a(2320471 - Rat);Fos(2626 - Rat);Fus(1308864 - Rat);G6pc3(727875 - Rat);Galt(1306483 - Rat);Glt8d1(1359293 - Rat);Grn(61983 - Rat);Hdac5(619980 - Rat);Hnmt(71049 - Rat);Hnrnpa1(69234 - Rat);Hnrnpa2b1(1310403 - Rat);Hnrnph1(620840 - Rat);Hrob(1305385 - Rat);Il11ra1(621332 - Rat);Kansl1(1311429 - Rat);Kif5a(1303035 - Rat);LOC100360821(2321337 - Rat);Lrrk2(1561168 - Rat);Lsm12(1309441 - Rat);Ltc4s(620677 - Rat);Maml1(1308631 - Rat);Map2k6(620666 - Rat);Mapt(69329 - Rat);Marchf4(1590797 - Rat);Masp2(620214 - Rat);Mef2c(1563119 - Rat);Mgat4b(1562836 - Rat);Mobp(3101 - Rat);Nefl(621458 - Rat);Optn(628886 - Rat);Phf24(1559864 - Rat);Pou1f1(3367 - Rat);Prkn(61797 - Rat);Psen1(3425 - Rat);RGD1359108(1359108 - Rat);RGD1564162(1564162 - Rat);Rnase4(61823 - Rat);Rpp25l(1306576 - Rat);Rufy1(1305099 - Rat);Rundc3a(735057 - Rat);Setx(1565575 - Rat);Sigmar1(68364 - Rat);Slc25a39(1306193 - Rat);Slc4a1(3710 - Rat);Snca(3729 - Rat);Sncb(70992 - Rat);Spata31d1c(1562630 - Rat);Sppl2c(1560562 - Rat);Sqstm1(69287 - Rat);Tardbp(1310906 - Rat);Tbk1(1588588 - Rat);Tm2d3(1564929 - Rat);Tmub2(1304758 - Rat);Tnf(3876 - Rat);Tnk1(1310113 - Rat);Trem2(1309841 - Rat);Ttc3(1308654 - Rat);Tuba4a(1359623 - Rat);Ubqln2(1563566 - Rat);Ubtf(3927 - Rat);Vcp(621595 - Rat);Vps13c(1560364 - Rat)	SD-Tg(TRE-FUS-R521C)(7247279)	term
Frontotemporal dementia	HP:0002145	0			term
Fructose-1,6-bisphosphatase deficiency	DOID:5204	3	Aldob(2090 - Rat);Ano5(1564265 - Rat);Fbp1(2595 - Rat)		term
Fryns macrocephaly	DOID:9002807	0			term
Fryns syndrome	DOID:9003981	0			term
Fucosidosis	DOID:14500	2	Dcx(620670 - Rat);Fuca1(2636 - Rat)		term
Fuhrmann syndrome	DOID:0090067	1	Wnt7a(69079 - Rat)		term
Fukuyama congenital muscular dystrophy	DOID:0050559	3	Dag1(621890 - Rat);Fkrp(1305852 - Rat);Fktn(1310087 - Rat)		term
Fulminant hepatic failure	HP:0004448	0			term
Fumarase deficiency	DOID:0111261	9	Acvrl1(2029 - Rat);Chml(1596201 - Rat);Exo1(1309465 - Rat);Fh(2614 - Rat);Kmo(620610 - Rat);Opn3(1594385 - Rat);Pld5(1562609 - Rat);Rgs7(3570 - Rat);Wdr64(1591103 - Rat)		term
Functioning pituitary adenoma	DOID:5395	19	Aip(628619 - Rat);Alk(628622 - Rat);Avpr1b(6502812 - Rat);Bmp4(2213 - Rat);Cdkn1a(69328 - Rat);Cebpd(2328 - Rat);Gh1(2686 - Rat);Gnai2(620243 - Rat);Gnas(2716 - Rat);Gpr101(1564196 - Rat);Hpgd(620087 - Rat);Lrp2(68407 - Rat);Men1(3078 - Rat);Myc(3130 - Rat);Nog(3183 - Rat);Npy5r(3199 - Rat);Prl(3403 - Rat);Ptgs2(620349 - Rat);Usp8(1304979 - Rat)		term
Fundus albipunctatus	DOID:11105	5	Mfrp(1307477 - Rat);Prph2(3549 - Rat);Rdh5(1308849 - Rat);Rho(3573 - Rat);Rlbp1(1309649 - Rat)		term
Fundus albipunctatus	HP:0030642	0			term
Fungal keratitis	DOID:9004055	4	Clec7a(1565140 - Rat);Tlr4(3870 - Rat);Trem1(1309467 - Rat);Tslp(1586479 - Rat)		term
Furunculous myiasis	DOID:9002256	0			term
Fusariosis	DOID:0050289	0			term
Gabriele-de Vries syndrome	DOID:9001966	1	Yy1(3982 - Rat)		term
Galactokinase deficiency	DOID:14695	2	Galk1(1305375 - Rat);Itgb4(2928 - Rat)		term
Galactose epimerase deficiency	DOID:0111458	2	Gale(621493 - Rat);Hmgcl(620554 - Rat)		term
Galactosemia	DOID:9870	10	Akr1b1(2092 - Rat);Cryaa(2413 - Rat);Ddit3(62391 - Rat);Gale(621493 - Rat);Galk1(1305375 - Rat);Galm(1359459 - Rat);Galt(1306483 - Rat);Hmgcl(620554 - Rat);Il11ra1(621332 - Rat);Itgb4(2928 - Rat)		term
Galactosialidosis	DOID:0080540	4	Ctsa(1309070 - Rat);Neurl2(1306409 - Rat);Pltp(1306695 - Rat);Spata25(1564523 - Rat)		term
Galloway-Mowat syndrome	DOID:0080694	13	C5h1orf122(1559909 - Rat);Eng(1593188 - Rat);Gon7(2302582 - Rat);Lage3(1562476 - Rat);Nup107(621160 - Rat);Nup133(1307827 - Rat);Osgep(1308578 - Rat);Tprkb(1309786 - Rat);Trp53rka(1591394 - Rat);Wdr4(1585179 - Rat);Wdr73(1306429 - Rat);Yrdc(708492 - Rat);Zfp592(1308705 - Rat)		term
Gamma-glutamyl transpeptidase deficiency	DOID:0111257	1	Ggt1(2683 - Rat)		term
Gangliocytoma	DOID:2426	0			term
Ganglioglioma	DOID:5078	3	Bap1(1311938 - Rat);Braf(619908 - Rat);Nf1(3168 - Rat)		term
Ganglioglioma	HP:0033664	0			term
Ganglioneuroblastoma	DOID:4163	1	Phox2b(1560582 - Rat)		term
Ganglioneuroblastoma	HP:0006747	0			term
Ganglioneuroma	DOID:4817	0			term
Ganglioneuroma	HP:0003005	0			term
Gangliosidosis	DOID:2368	30	Adpgk(1306103 - Rat);Arih1(1308131 - Rat);Bbs4(1309134 - Rat);Ccl3(3647 - Rat);Cd276(727815 - Rat);Celf6(1310451 - Rat);Ctnnb1(70487 - Rat);Gfm2(1309854 - Rat);Glb1(1597145 - Rat);Gm2a(628651 - Rat);Gramd2a(1564007 - Rat);Hcn4(71065 - Rat);Hexa(2792 - Rat);Hexb(1307607 - Rat);Insyn1(1562618 - Rat);Loxl1(1308752 - Rat);Myo9a(621395 - Rat);Neo1(619837 - Rat);Nptn(620296 - Rat);Nr2e3(2318602 - Rat);Parp6(1310937 - Rat);Pkm(3337 - Rat);Rec114(1311874 - Rat);Senp8(1309955 - Rat);Setx(1565575 - Rat);Snca(3729 - Rat);Sncb(70992 - Rat);Tbc1d21(1310243 - Rat);Tmem202(1585107 - Rat);Tmppe(7696429 - Rat)		term
GAPO syndrome	DOID:0112249	1	Antxr1(1307144 - Rat)		term
Gardner-Diamond syndrome	DOID:9008570	0			term
Gardner syndrome	DOID:9009045	2	Apc(2123 - Rat);Galnt12(1562001 - Rat)		term
Gastric adenocarcinoma and proximal polyposis of the stomach	DOID:9002722	1	Apc(2123 - Rat)		term
Gastric squamous cell carcinoma	DOID:5516	0			term
Gastrinoma	DOID:5577	5	Igf1r(2869 - Rat);Men1(3078 - Rat);Met(3082 - Rat);Mgmt(3087 - Rat);Slc2a2(3705 - Rat)		term
Gastrocutaneous syndrome	DOID:9001475	0			term
